Year,Month,Day,Hour,Minute,Timestamp,Demand
2020,1,4,18,30,2020-01-04 18:30:00,6752.395312940671
2020,1,4,19,0,2020-01-04 19:00:00,6821.823574437612
2020,1,4,19,30,2020-01-04 19:30:00,6829.5955069648
2020,1,4,20,0,2020-01-04 20:00:00,6722.756685232792
2020,1,4,20,30,2020-01-04 20:30:00,6552.899798065922
2020,1,4,21,0,2020-01-04 21:00:00,6419.311749609058
2020,1,4,21,30,2020-01-04 21:30:00,6309.155586937362
2020,1,4,22,0,2020-01-04 22:00:00,6209.431910076554
2020,1,4,22,30,2020-01-04 22:30:00,6124.150675380882
2020,1,4,23,0,2020-01-04 23:00:00,5935.165379549287
2020,1,4,23,30,2020-01-04 23:30:00,5727.229273035622
2020,1,5,0,0,2020-01-05 00:00:00,5542.530154075136
2020,1,5,0,30,2020-01-05 00:30:00,5404.136976635529
2020,1,5,1,0,2020-01-05 01:00:00,5285.978849413814
2020,1,5,1,30,2020-01-05 01:30:00,5190.6544280145845
2020,1,5,2,0,2020-01-05 02:00:00,5134.932977427479
2020,1,5,2,30,2020-01-05 02:30:00,5088.9993939198885
2020,1,5,3,0,2020-01-05 03:00:00,5084.2450097225355
2020,1,5,3,30,2020-01-05 03:30:00,5085.750554459339
2020,1,5,4,0,2020-01-05 04:00:00,5064.687973323498
2020,1,5,4,30,2020-01-05 04:30:00,5067.8385426264595
2020,1,5,5,0,2020-01-05 05:00:00,5037.584057233332
2020,1,5,5,30,2020-01-05 05:30:00,5007.815976924928
2020,1,5,6,0,2020-01-05 06:00:00,4977.634269151722
2020,1,5,6,30,2020-01-05 06:30:00,4968.529201917502
2020,1,5,7,0,2020-01-05 07:00:00,4946.935685149777
2020,1,5,7,30,2020-01-05 07:30:00,4935.062960757285
2020,1,5,8,0,2020-01-05 08:00:00,4961.712779147389
2020,1,5,8,30,2020-01-05 08:30:00,4996.769385742502
2020,1,5,9,0,2020-01-05 09:00:00,4990.9314737513505
2020,1,5,9,30,2020-01-05 09:30:00,4995.572705094519
2020,1,5,10,0,2020-01-05 10:00:00,4996.980260702902
2020,1,5,10,30,2020-01-05 10:30:00,5006.939935030364
2020,1,5,11,0,2020-01-05 11:00:00,5015.3896051793645
2020,1,5,11,30,2020-01-05 11:30:00,5066.193528945676
2020,1,5,12,0,2020-01-05 12:00:00,5114.839826621244
2020,1,5,12,30,2020-01-05 12:30:00,5160.444192793484
2020,1,5,13,0,2020-01-05 13:00:00,5271.060261642002
2020,1,5,13,30,2020-01-05 13:30:00,5361.301916424595
2020,1,5,14,0,2020-01-05 14:00:00,5476.9593565700725
2020,1,5,14,30,2020-01-05 14:30:00,5610.387512739808
2020,1,5,15,0,2020-01-05 15:00:00,5778.457384349729
2020,1,5,15,30,2020-01-05 15:30:00,5951.567343589896
2020,1,5,16,0,2020-01-05 16:00:00,6160.341399243498
2020,1,5,16,30,2020-01-05 16:30:00,6364.839041659752
2020,1,5,17,0,2020-01-05 17:00:00,6539.287266680944
2020,1,5,17,30,2020-01-05 17:30:00,6657.819967844533
2020,1,5,18,0,2020-01-05 18:00:00,6760.064799341266
2020,1,5,18,30,2020-01-05 18:30:00,6870.688889448032
2020,1,5,19,0,2020-01-05 19:00:00,6918.100060790343
2020,1,5,19,30,2020-01-05 19:30:00,6907.831250408197
2020,1,5,20,0,2020-01-05 20:00:00,6812.57067944882
2020,1,5,20,30,2020-01-05 20:30:00,6610.85696954093
2020,1,5,21,0,2020-01-05 21:00:00,6465.223511535178
2020,1,5,21,30,2020-01-05 21:30:00,6304.286168540357
2020,1,5,22,0,2020-01-05 22:00:00,6179.051375927027
2020,1,5,22,30,2020-01-05 22:30:00,6070.547053666188
2020,1,5,23,0,2020-01-05 23:00:00,5871.08866436639
2020,1,5,23,30,2020-01-05 23:30:00,5658.008041254661
2020,1,6,0,0,2020-01-06 00:00:00,5481.241041942664
2020,1,6,0,30,2020-01-06 00:30:00,5342.908749272068
2020,1,6,1,0,2020-01-06 01:00:00,5252.0474944891075
2020,1,6,1,30,2020-01-06 01:30:00,5173.116260269308
2020,1,6,2,0,2020-01-06 02:00:00,5122.191505826954
2020,1,6,2,30,2020-01-06 02:30:00,5091.846949013766
2020,1,6,3,0,2020-01-06 03:00:00,5084.781572000464
2020,1,6,3,30,2020-01-06 03:30:00,5079.107949500458
2020,1,6,4,0,2020-01-06 04:00:00,5109.779989193802
2020,1,6,4,30,2020-01-06 04:30:00,5156.919848851524
2020,1,6,5,0,2020-01-06 05:00:00,5248.237947867912
2020,1,6,5,30,2020-01-06 05:30:00,5339.329929156842
2020,1,6,6,0,2020-01-06 06:00:00,5499.839265744082
2020,1,6,6,30,2020-01-06 06:30:00,5665.002268844498
2020,1,6,7,0,2020-01-06 07:00:00,5821.253052412771
2020,1,6,7,30,2020-01-06 07:30:00,5908.378888597914
2020,1,6,8,0,2020-01-06 08:00:00,5969.093845647758
2020,1,6,8,30,2020-01-06 08:30:00,6000.0295257250655
2020,1,6,9,0,2020-01-06 09:00:00,5960.586925788231
2020,1,6,9,30,2020-01-06 09:30:00,5913.537169480733
2020,1,6,10,0,2020-01-06 10:00:00,5894.42734246794
2020,1,6,10,30,2020-01-06 10:30:00,5897.006572273249
2020,1,6,11,0,2020-01-06 11:00:00,5904.148868914183
2020,1,6,11,30,2020-01-06 11:30:00,5982.879298721856
2020,1,6,12,0,2020-01-06 12:00:00,6062.752730288022
2020,1,6,12,30,2020-01-06 12:30:00,6163.5809544843705
2020,1,6,13,0,2020-01-06 13:00:00,6247.129835802462
2020,1,6,13,30,2020-01-06 13:30:00,6377.5416300835395
2020,1,6,14,0,2020-01-06 14:00:00,6493.57387920591
2020,1,6,14,30,2020-01-06 14:30:00,6584.048975574935
2020,1,6,15,0,2020-01-06 15:00:00,6689.836092580056
2020,1,6,15,30,2020-01-06 15:30:00,6801.223718383131
2020,1,6,16,0,2020-01-06 16:00:00,6911.507671406123
2020,1,6,16,30,2020-01-06 16:30:00,7047.490919560984
2020,1,6,17,0,2020-01-06 17:00:00,7143.55309018159
2020,1,6,17,30,2020-01-06 17:30:00,7166.611159726129
2020,1,6,18,0,2020-01-06 18:00:00,7164.3684111241655
2020,1,6,18,30,2020-01-06 18:30:00,7253.9166290447665
2020,1,6,19,0,2020-01-06 19:00:00,7282.79665434037
2020,1,6,19,30,2020-01-06 19:30:00,7262.347133963578
2020,1,6,20,0,2020-01-06 20:00:00,7125.599455155925
2020,1,6,20,30,2020-01-06 20:30:00,6912.326674976808
2020,1,6,21,0,2020-01-06 21:00:00,6732.2791280116335
2020,1,6,21,30,2020-01-06 21:30:00,6546.644214573769
2020,1,6,22,0,2020-01-06 22:00:00,6383.4607851231285
2020,1,6,22,30,2020-01-06 22:30:00,6263.561138329217
2020,1,6,23,0,2020-01-06 23:00:00,6060.510484348624
2020,1,6,23,30,2020-01-06 23:30:00,5843.892278373836
2020,1,7,0,0,2020-01-07 00:00:00,5651.350453466797
2020,1,7,0,30,2020-01-07 00:30:00,5510.434319856422
2020,1,7,1,0,2020-01-07 01:00:00,5391.892503875744
2020,1,7,1,30,2020-01-07 01:30:00,5313.579187474463
2020,1,7,2,0,2020-01-07 02:00:00,5260.8619184859745
2020,1,7,2,30,2020-01-07 02:30:00,5234.046994609734
2020,1,7,3,0,2020-01-07 03:00:00,5215.409700090472
2020,1,7,3,30,2020-01-07 03:30:00,5202.482442756178
2020,1,7,4,0,2020-01-07 04:00:00,5231.42649387653
2020,1,7,4,30,2020-01-07 04:30:00,5276.082465606656
2020,1,7,5,0,2020-01-07 05:00:00,5363.41354590253
2020,1,7,5,30,2020-01-07 05:30:00,5453.348254113742
2020,1,7,6,0,2020-01-07 06:00:00,5638.606926520655
2020,1,7,6,30,2020-01-07 06:30:00,5802.796467192602
2020,1,7,7,0,2020-01-07 07:00:00,5955.4220828366915
2020,1,7,7,30,2020-01-07 07:30:00,6054.691098818404
2020,1,7,8,0,2020-01-07 08:00:00,6129.597270029602
2020,1,7,8,30,2020-01-07 08:30:00,6121.251868470916
